Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,06/22/2022,"went to dtec, had aloo ka paratha mama made",,,,,,,,,,,,,,,,,,,,,,,
Thursday,06/23/2022,"went for bowling with Advik, Mrudav, Aditya",,,,,,,,,,,,,,,,,,,,,,,
Friday,06/24/2022,"went for sleeover at sakets, went to malabar with mama papa",,,,,,,,,,,,,,,,,,,,,,,
Saturday,06/25/2022,went to India Palace and had lovely dinner.,,,,,,,,,,,,,,,,,,,,,,,
Sunday,06/26/2022,,,,,,,,,,,,,,,,,,,,,,,,
Monday,06/27/2022,dtec,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,06/28/2022,dtec bus metro got really tired.,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,06/29/2022,came back by metro from dtec. gymmed. Met advik. ate food and slept,,,,,,,,,,,,,,,,,,,,,,,
Thursday,06/30/2022,Met advaith. Wild Wadi Plan flopped. had kfc. Swam at my place for 4 hours and played fifa. Had burger club and chinchaus.,,,,,,,,,,,,,,,,,,,,,,,
Friday,07/01/2022,STARTED CREDIT SUISSE INTERNSHIP. Very tired at 5. Watched India vs England. Walked with Advik. Went to Dwaynes house and helped him out. Helped Ria in speaking - IELTS.,,,,,,,,,,,,,,,,,,,,,,,
Saturday,07/02/2022,met advaith at gym. swam with advaith and advik. Ate at burger club. Had kulfi and congratulated Ria on finishin IELTS. Had caesers,,,,,,,,,,,,,,,,,,,,,,,
Sunday,07/03/2022,Watched move jugg jugg jeeyo. Met Asmita and Srishti. Came back home and finished black mirror episode.,,,,,,,,,,,,,,,,,,,,,,,
Monday,07/04/2022,"Credit Suisse. Had UBC meeting. Met Akshansh, Divjot, Anika, and Deeksha on the way. Slept over at Varun's. Watched Run. Met Aamir too. Didn't sleep all night",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,07/05/2022,"Credit Suisse. Met Advaith, Advik, Akshansh, Aamir, Saket, and Seshadri at the pool. Ate from maya a bit. Enjoyed.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,07/06/2022,Credit Suisse. COURSE REGISTRATION.,,,,,,,,,,,,,,,,,,,,,,,
Thursday,07/07/2022,credit suisse got over. CLIENT SIMULATION AND DID RELATIONSHIP MANAGER POSITION,,,,,,,,,,,,,,,,,,,,,,,
Friday,07/08/2022,IKEA Breakfast with bua pupaji. went around ikea,,,,,,,,,,,,,,,,,,,,,,,
Saturday,07/09/2022,"Met Sakshi Samiksha, went to kefi cafe and played board games. Met their family in the evening. Played guitar too.",,,,,,,,,,,,,,,,,,,,,,,
Sunday,07/10/2022,played uncharted lost legacy. met dwayne and family in the evening.,,,,,,,,,,,,,,,,,,,,,,,
Monday,07/11/2022,"watched man in the high castle. slept for 4 hours in afternoon. gymmed, met advik and had chilli chicken porotta. Chilled at the swimming pool",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,07/12/2022,"worked in dtec, went for gymming late night, watched odi ind vs eng. came back by metro from office.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,07/13/2022,didnt go for work. helped mama. set up and played wii. went for gym and started gymming. Chilled with Advik in pool and played splendor and lost,,,,,,,,,,,,,,,,,,,,,,,
